Interval,Description,Agent,Int Agt ID,Adv,In Ans,In,Out Ans,Out,Tot Tlk (Seconds Value),Avg Tlk (Seconds Value),End On-Hold,Esc,Esc To,In Abnd,Max Concr,Out Fail,OvrFd In,OvrFd Off,All Ans,All,UnMon,Trans In,Trans Out,Unrtrnd,Ans <= 15s,Abnd <= 60s,Max Call (Seconds Value),Max Held (Seconds Value),Max Talk (Seconds Value),Tot Call (Seconds Value),Tot Held (Seconds Value),Tot Rng (Seconds Value),Alerting (Seconds Value),Available (Seconds Value),Busy (Seconds Value),Handling (Seconds Value),N/A (Seconds Value)
01/01/2026 (00:00:00 - 00:59:59),Liam Turner,440710619180.0,,0,2.0,2.0,0.0,0.0,369.2973085840046,184.6486542920023,0,0,0,0.0,0,0.0,0,0,2.0,2.0,0,0,0,0,1.0,0.0,596.1338076910483,96.84287599234078,494.139618757518,419.6939560866114,40.09402162022785,10.30262588237896,7.121324593949355,2923.7766395329345,426.81528068056076,419.6939560866114,249.408079786505
01/01/2026 (00:00:00 - 00:59:59),Nina Ward,440795892684.0,,0,3.0,3.0,2.0,2.0,764.2790457372981,254.7596819124327,0,0,0,0.0,0,0.0,0,0,5.0,5.0,0,0,0,0,1.0,0.0,1040.392024076758,177.2906914597549,859.6590692154397,897.009132700791,122.40329675880227,17.211317007817588,10.943114801197163,2435.188729376641,907.9522475019882,897.009132700791,256.8590231213712
01/01/2026 (00:00:00 - 00:59:59),Ruby Bennett,440776845445.0,,0,1.0,1.0,0.0,0.0,296.79431436725946,296.79431436725946,0,0,0,0.0,0,0.0,0,0,1.0,1.0,0,0,0,0,1.0,0.0,808.6838689986521,47.19591683631889,756.0579086166051,320.0837882850695,17.859430372082,5.4300435457280525,5.0677706305117916,3010.7232789337804,325.1515589155813,320.0837882850695,264.12516215063823
01/01/2026 (00:00:00 - 00:59:59),Theo Bennett,440797064732.0,,0,0.0,0.0,0.0,0.0,0.0,197.5514790741057,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,501.487447217333,41.60089708736309,448.3894134716695,0.0,0.0,0.0,0.0,3495.642843018726,0.0,0.0,104.35715698127379
01/01/2026 (00:00:00 - 00:59:59),Nina Reed,440712872381.0,,0,4.0,4.0,0.0,0.0,775.7895347968757,193.94738369921893,0,0,0,0.0,0,0.0,0,0,4.0,4.0,0,0,0,0,3.0,0.0,574.6515689338653,114.44937849460342,455.63275089959967,950.4059991904539,156.33870623492965,18.277758158648595,12.391536040310509,2468.254225176657,962.7975352307644,950.4059991904539,168.94823959257826
01/01/2026 (00:00:00 - 00:59:59),Ella Scott,440738213751.0,,0,3.0,3.0,0.0,0.0,887.8243697432897,295.9414565810966,0,0,0,0.0,0,0.0,0,0,3.0,3.0,0,0,0,0,1.0,0.0,924.9565490799499,20.689077725763617,897.0045154870853,938.900482363717,29.287245019124057,21.788867601303153,16.318103243069245,2385.6048844203483,955.2185856067862,938.900482363717,259.1765299728654
01/01/2026 (00:00:00 - 00:59:59),Freya Wright,440705932682.0,,0,3.0,3.0,0.0,0.0,880.210181622947,293.40339387431567,0,0,0,0.0,0,0.0,0,0,3.0,3.0,0,0,0,0,2.0,0.0,1013.2185055715316,62.23599837886833,945.9314710631629,941.973748768446,46.61045875699768,15.153108388501224,11.481892728037531,2355.035076136132,953.4556414964835,941.973748768446,291.50928236738434
01/01/2026 (01:00:00 - 01:59:59),Liam Turner,440710619180.0,,0,1.0,1.0,1.0,1.0,264.09237143283025,264.09237143283025,0,0,0,0.0,0,0.0,0,0,2.0,2.0,0,0,0,0,1.0,0.0,932.9318873853679,65.8040848855484,862.3811999300316,289.9067176410033,21.067743638385153,9.493205139575789,3.2273900998079763,3094.872624105807,293.13410774081126,289.9067176410033,211.9932681533816
01/01/2026 (01:00:00 - 01:59:59),Nina Ward,440795892684.0,,0,0.0,0.0,0.0,0.0,0.0,473.44890598035795,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1974.2540722573935,135.6006349325317,1833.8103472811067,0.0,0.0,0.0,0.0,3365.6029825032892,0.0,0.0,234.3970174967108
01/01/2026 (01:00:00 - 01:59:59),Ruby Bennett,440776845445.0,,0,1.0,1.0,0.0,0.0,166.90363341152678,166.90363341152678,0,0,0,0.0,0,0.0,0,0,1.0,1.0,0,0,0,0,1.0,0.0,501.13710851630856,18.74932271063092,474.46323010155305,183.30085154597748,8.472662430326094,7.924555704124586,3.6005462656745713,3268.2665655330716,186.90139781165206,183.30085154597748,144.83203665527603
01/01/2026 (01:00:00 - 01:59:59),Theo Bennett,440797064732.0,,0,0.0,0.0,0.0,0.0,0.0,171.96915562287467,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,705.6029886666402,67.64264019653217,630.9827415100322,0.0,0.0,0.0,0.0,3332.526677559805,0.0,0.0,267.47332244019475
01/01/2026 (01:00:00 - 01:59:59),Nina Reed,440712872381.0,,0,4.0,4.0,0.0,0.0,1012.0464951647568,253.0116237911892,0,0,0,0.0,0,0.0,0,0,4.0,4.0,0,0,0,0,2.0,0.0,663.2900444981,101.75966663510066,558.5662762284621,1131.6366682037992,107.73376650089355,11.856406538148873,12.364266548457014,2171.4834309254575,1144.0009347522562,1131.6366682037992,284.51563432228613
01/01/2026 (01:00:00 - 01:59:59),Ella Scott,440738213751.0,,0,2.0,2.0,0.0,0.0,439.544374356724,219.772187178362,0,0,0,0.0,0,0.0,0,0,2.0,2.0,0,0,0,0,2.0,0.0,807.7907923026241,44.767092398742605,760.7585687326856,468.1139447068282,24.039308007712343,4.530262342391809,9.271423406679613,3009.458643002237,477.3853681135078,468.1139447068282,113.15598888425512
01/01/2026 (01:00:00 - 01:59:59),Freya Wright,440705932682.0,,0,1.0,1.0,0.0,0.0,203.43803980590803,203.43803980590803,0,0,0,0.0,0,0.0,0,0,1.0,1.0,0,0,0,0,1.0,0.0,614.1200819256078,110.90547787147287,493.37164384408,248.28084988229335,34.999849866330415,9.842960210054922,4.482836658428405,3213.638103335131,252.76368654072175,248.28084988229335,133.59821012414758
01/01/2026 (02:00:00 - 02:59:59),Liam Turner,440710619180.0,,0,1.0,1.0,0.0,0.0,241.26880857253798,241.26880857253798,0,0,0,0.0,0,0.0,0,0,1.0,1.0,0,0,0,0,0.0,0.0,765.1855753941687,70.11531463765297,690.2495291011055,280.5741142617508,34.48457403380265,4.820731655410203,3.541275628209358,3127.6494711489377,284.11538988996017,280.5741142617508,188.23513896110217
01/01/2026 (02:00:00 - 02:59:59),Nina Ward,440795892684.0,,0,0.0,0.0,0.0,0.0,0.0,392.775361335007,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,952.1963413843262,67.0195704841781,879.5955093965507,0.0,0.0,0.0,0.0,3492.9435154946354,0.0,0.0,107.05648450536438
01/01/2026 (02:00:00 - 02:59:59),Ruby Bennett,440776845445.0,,0,1.0,1.0,1.0,1.0,166.27321095703732,166.27321095703732,0,0,0,0.0,0,0.0,0,0,2.0,2.0,0,0,0,0,1.0,0.0,533.1764719685657,56.101016467706785,470.1244270819373,188.7042167071932,15.479977331234243,13.90205683784333,3.913931218776325,3170.225747946883,192.61814792596954,188.7042167071932,237.1561041271473
01/01/2026 (02:00:00 - 02:59:59),Theo Bennett,440797064732.0,,0,1.0,2.0,0.0,0.0,85.92576684334347,85.92576684334347,0,0,0,1.0,0,0.0,0,0,1.0,2.0,0,0,0,0,0.0,1.0,388.4629155103528,120.5278609528045,261.5979081285544,117.80811199695779,25.545198724620477,6.337146428993854,4.388008912857978,3296.060350463004,122.19612090981578,117.80811199695779,181.7435286271801
01/01/2026 (02:00:00 - 02:59:59),Nina Reed,440712872381.0,,0,2.0,2.0,1.0,1.0,450.1249890373822,225.0624945186911,0,0,0,0.0,0,0.0,0,0,3.0,3.0,0,0,0,0,2.0,0.0,695.5210407335159,99.44275940256871,592.5573182809013,508.9920804838616,51.82516534638788,10.562889150137416,9.34827817565504,3020.610730945164,518.3403586595167,508.9920804838616,61.048910395319254
01/01/2026 (02:00:00 - 02:59:59),Ella Scott,440738213751.0,,0,1.0,1.0,0.0,0.0,352.1952612415151,352.1952612415151,0,0,0,0.0,0,0.0,0,0,1.0,1.0,0,0,0,0,1.0,0.0,997.6281747219925,25.217628413000224,964.9195903756175,371.63913739425857,11.952920219368655,7.490955933374814,3.678616638548374,3039.813979737799,375.31775403280693,371.63913739425857,184.86826622939407
01/01/2026 (02:00:00 - 02:59:59),Freya Wright,440705932682.0,,0,1.0,1.0,0.0,0.0,217.09543872041303,217.09543872041303,0,0,0,0.0,0,0.0,0,0,1.0,1.0,0,0,0,0,0.0,0.0,876.1608559180494,122.07266788685817,746.9976944610156,253.93341849141882,29.747486200830167,7.09049357017562,5.785825142572743,3268.034831873642,259.71924363399154,253.93341849141882,72.24592449236673
